,id,goog,count_all,count_rating,count_review,rating,picture,length,experience,period,locationid,time,period_ch,dum,did,ln_count_all,ln_count_rating,ln_count_review,ln_length,timedum_1,timedum_2,timedum_3,timedum_4,timedum_5,timedum_6,timedum_7,timedum_8,diddum_1,diddum_2,diddum_3,diddum_4,diddum_5,diddum_6,diddum_7,diddum_8,_est_ln_count_all
0,1.0,1,95.0,48.0,47.0,4.5578947,0.031578947,47.0,30.789474,2017M07,1,1.0,0.0,0.0,0.0,4.553877,3.871201,3.8501475,3.8501475,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1.0,0,77.0,77.0,77.0,4.1688313,0.6753247,220.81818,259.72726,2017M07,1,1.0,0.0,0.0,0.0,4.3438053,4.3438053,4.3438053,5.39734,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2.0,1,107.0,58.0,49.0,4.551402,0.018691588,44.959183,34.121494,2017M08,1,2.0,0.0,0.0,0.0,4.6728287,4.060443,3.8918202,3.8057551,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,2.0,0,81.0,81.0,81.0,4.3209877,0.72839504,217.98766,242.33333,2017M08,1,2.0,0.0,0.0,0.0,4.394449,4.394449,4.394449,5.3844385,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,3.0,1,167.0,106.0,61.0,4.60479,0.017964073,51.13115,27.58084,2017M09,1,3.0,0.0,0.0,0.0,5.117994,4.6634393,4.1108737,3.934394,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
5,3.0,0,60.0,60.0,60.0,4.3166666,0.75,182.86667,209.6,2017M09,1,3.0,0.0,0.0,0.0,4.0943446,4.0943446,4.0943446,5.2087574,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,4.0,1,89.0,49.0,40.0,4.505618,0.033707865,51.9,45.033707,2017M10,1,4.0,0.0,0.0,0.0,4.4886365,3.8918202,3.6888795,3.949319,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
7,4.0,0,58.0,58.0,58.0,4.1896553,0.79310346,189.7069,121.05173,2017M10,1,4.0,0.0,0.0,0.0,4.060443,4.060443,4.060443,5.24548,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,5.0,1,87.0,41.0,46.0,4.5747128,0.04597701,78.67391,91.873566,2018M07,1,5.0,1.0,1.0,1.0,4.465908,3.713572,3.8286414,4.3653116,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
9,5.0,0,42.0,42.0,42.0,4.3095236,0.8333333,199.90475,136.5,2018M07,1,5.0,1.0,1.0,0.0,3.7376697,3.7376697,3.7376697,5.297841,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
