appid,name,current_players,store_name,owners_estimate,news_count
730,Counter-Strike 2,1248247,Counter-Strike 2,,10
1808500,ARC Raiders,136235,ARC Raiders,,10
230410,Warframe,77748,Warframe,,10
3564740,Where Winds Meet,56460,Where Winds Meet,,10
1631270,StarRupture,14362,StarRupture,,10
227300,Euro Truck Simulator 2,34441,Euro Truck Simulator 2,,10
3513350,Wuthering Waves,15925,Wuthering Waves,,10
2399830,ARK: Survival Ascended,27751,ARK: Survival Ascended,,10
3405690,EA SPORTS FC™ 26,41196,EA SPORTS FC™ 26,,10
3419520,Quarantine Zone: The Last Check,14874,Quarantine Zone: The Last Check,,10
236390,War Thunder,70907,War Thunder,,10
3240220,Grand Theft Auto V Enhanced,76204,Grand Theft Auto V Enhanced,,10
252490,Rust,130282,Rust,,10
2767030,Marvel Rivals,80263,Marvel Rivals,,10
1086940,Baldur's Gate 3,47953,Baldur's Gate 3,,10
381210,Dead by Daylight,41150,Dead by Daylight,,10
2694490,Path of Exile 2,48164,Path of Exile 2,,10
552990,World of Warships,34799,World of Warships,,10
578080,PUBG: BATTLEGROUNDS,544852,PUBG: BATTLEGROUNDS,,10
2183900,"Warhammer 40,000: Space Marine 2",11350,"Warhammer 40,000: Space Marine 2",,10
2073620,Arena Breakout: Infinite,24816,Arena Breakout: Infinite,,10
570,Dota 2,612805,Dota 2,,10
1172470,Apex Legends™,145589,Apex Legends™,,10
2807960,Battlefield™ 6,40789,Battlefield™ 6,,10
3949040,RV There Yet?,4157,RV There Yet?,,10
2300320,Farming Simulator 25,19485,Farming Simulator 25,,10
2840770,Avatar: Frontiers of Pandora™,3228,Avatar: Frontiers of Pandora™,,10
1222670,The Sims™ 4,22647,The Sims™ 4,,10
1222140,Detroit: Become Human,11054,Detroit: Become Human,,9
582660,Black Desert,19296,Black Desert,,10
3274580,Anno 117: Pax Romana,2409,Anno 117: Pax Romana,,10
2344520,Diablo® IV,11464,Diablo® IV,,10
553850,HELLDIVERS™ 2,27073,HELLDIVERS™ 2,,10
2592160,Dispatch,2704,Dispatch,,10
1151340,Fallout 76,11350,Fallout 76,,10
1361210,"Warhammer 40,000: Darktide",7752,"Warhammer 40,000: Darktide",,10
1903340,Clair Obscur: Expedition 33,15659,Clair Obscur: Expedition 33,,10
1599340,Lost Ark,7017,Lost Ark,,10
1407200,World of Tanks,8792,World of Tanks,,10
1203620,Enshrouded,11632,Enshrouded,,10
306130,The Elder Scrolls® Online,7859,The Elder Scrolls® Online,,10
1091500,Cyberpunk 2077,34187,Cyberpunk 2077,,10
1245620,ELDEN RING,35333,ELDEN RING,,10
3241660,R.E.P.O.,49050,R.E.P.O.,,10
2429640,Throne and Liberty,5899,Throne and Liberty,,10
3527290,PEAK,29620,PEAK,,10
394360,Hearts of Iron IV,42604,Hearts of Iron IV,,10
2780810,Euro Truck Simulator 2 - Nordic Horizons,0,Euro Truck Simulator 2 - Nordic Horizons,,0
1449850,Yu-Gi-Oh! Master Duel,18981,Yu-Gi-Oh! Master Duel,,10
3164500,Schedule I,9078,Schedule I,,10
270880,American Truck Simulator,5045,American Truck Simulator,,10
1675200,Steam Deck,0,Steam Deck,,10
39210,FINAL FANTASY XIV Online,13654,FINAL FANTASY XIV Online,,10
2139460,Once Human,14149,Once Human,,10
518790,theHunter: Call of the Wild™,6680,theHunter: Call of the Wild™,,10
3472040,NBA 2K26,22542,NBA 2K26,,10
3681810,Blue Protocol: Star Resonance,2405,Blue Protocol: Star Resonance,,10
1284190,The Planet Crafter,5452,The Planet Crafter,,10
3720100,ARK: Lost Colony Expansion Pass,0,ARK: Lost Colony Expansion Pass,,0
1142710,Total War: WARHAMMER III,29185,Total War: WARHAMMER III,,10
1149460,ICARUS,10226,ICARUS,,10
2622380,ELDEN RING NIGHTREIGN,68822,ELDEN RING NIGHTREIGN,,10
377160,Fallout 4,20748,Fallout 4,,10
1284210,Guild Wars 2,4149,Guild Wars 2,,10
359550,Tom Clancy's Rainbow Six® Siege X,32754,Tom Clancy's Rainbow Six® Siege X,,10
2537590,Microsoft Flight Simulator 2024,4035,Microsoft Flight Simulator 2024,,10
916440,Anno 1800,3868,Anno 1800,,10
1934680,Age of Mythology: Retold,2755,Age of Mythology: Retold,,10
1974050,Torchlight: Infinite,20318,Torchlight: Infinite,,10
2001120,Split Fiction,8729,Split Fiction,,10
2074920,The First Descendant,6076,The First Descendant,,10
284160,BeamNG.drive,20221,BeamNG.drive,,10
1363080,Manor Lords,4462,Manor Lords,,10
1771300,Kingdom Come: Deliverance II,26072,Kingdom Come: Deliverance II,,10
1085660,Destiny 2,10610,Destiny 2,,10
703080,Planet Zoo,3917,Planet Zoo,,10
2141910,Magic: The Gathering Arena,5885,Magic: The Gathering Arena,,10
261550,Mount & Blade II: Bannerlord,30561,Mount & Blade II: Bannerlord,,10
1551360,Forza Horizon 5,17704,Forza Horizon 5,,10
1401590,Disney Dreamlight Valley,2559,Disney Dreamlight Valley,,10
3316940,The Legend of Heroes: Trails beyond the Horizon,1223,The Legend of Heroes: Trails beyond the Horizon,,2
1326470,Sons Of The Forest,15297,Sons Of The Forest,,10
2246340,Monster Hunter Wilds,31822,Monster Hunter Wilds,,10
3669570,Alchemy Factory,2955,Alchemy Factory,,10
2373990,Solo Leveling: ARISE OVERDRIVE,1141,Solo Leveling: ARISE OVERDRIVE,,10
1783560,The Last Caretaker,2184,The Last Caretaker,,10
4210150,ARC Raiders - The Bonecrown Set,0,ARC Raiders - The Bonecrown Set,,0
2958130,Jurassic World Evolution 3,1308,Jurassic World Evolution 3,,10
2827200,MIMESIS,1803,MIMESIS,,10
427520,Factorio,14915,Factorio,,10
1659040,HITMAN World of Assassination,4172,HITMAN World of Assassination,,10
3224770,Umamusume: Pretty Derby,10690,Umamusume: Pretty Derby,,10
1174180,Red Dead Redemption 2,37381,Red Dead Redemption 2,,10
813780,Age of Empires II: Definitive Edition,17944,Age of Empires II: Definitive Edition,,10
1466060,Tainted Grail: The Fall of Avalon,2468,Tainted Grail: The Fall of Avalon,,10
1286830,STAR WARS™: The Old Republic™,2859,STAR WARS™: The Old Republic™,,10
281990,Stellaris,12504,Stellaris,,10
2138330,Cyberpunk 2077: Phantom Liberty,0,Cyberpunk 2077: Phantom Liberty,,10
1158310,Crusader Kings III,16904,Crusader Kings III,,10
346110,ARK: Survival Evolved,24985,ARK: Survival Evolved,,10
