appid,name,current_players,store_name,owners_estimate,news_count
730,Counter-Strike 2,898641,Counter-Strike 2,,10
1808500,ARC Raiders,311673,ARC Raiders,,10
3564740,Where Winds Meet,144896,Where Winds Meet,,10
227300,Euro Truck Simulator 2,43132,Euro Truck Simulator 2,,10
2807960,Battlefield™ 6,163873,Battlefield™ 6,,10
2592160,Dispatch,15312,Dispatch,,10
3405690,EA SPORTS FC™ 26,63763,EA SPORTS FC™ 26,,10
261550,Mount & Blade II: Bannerlord,50635,Mount & Blade II: Bannerlord,,10
1091500,Cyberpunk 2077,36573,Cyberpunk 2077,,10
3274580,Anno 117: Pax Romana,12471,Anno 117: Pax Romana,,10
552990,World of Warships,30748,World of Warships,,10
1174180,Red Dead Redemption 2,37126,Red Dead Redemption 2,,10
2300320,Farming Simulator 25,32806,Farming Simulator 25,,10
3059520,F1® 25,10899,F1® 25,,10
2780810,Euro Truck Simulator 2 - Nordic Horizons,0,Euro Truck Simulator 2 - Nordic Horizons,,0
990080,Hogwarts Legacy,20231,Hogwarts Legacy,,10
381210,Dead by Daylight,43051,Dead by Daylight,,10
236390,War Thunder,47719,War Thunder,,10
1449110,The Outer Worlds 2,2663,The Outer Worlds 2,,10
1172470,Apex Legends™,49394,Apex Legends™,,10
3949040,RV There Yet?,9517,RV There Yet?,,10
578080,PUBG: BATTLEGROUNDS,134479,PUBG: BATTLEGROUNDS,,10
2183900,"Warhammer 40,000: Space Marine 2",17002,"Warhammer 40,000: Space Marine 2",,10
2927200,Mount & Blade II: Bannerlord - War Sails,0,Mount & Blade II: Bannerlord - War Sails,,0
1551360,Forza Horizon 5,11708,Forza Horizon 5,,10
2215430,Ghost of Tsushima DIRECTOR'S CUT,10426,Ghost of Tsushima DIRECTOR'S CUT,,10
3008130,Dying Light: The Beast,7247,Dying Light: The Beast,,10
2001120,Split Fiction,3464,Split Fiction,,10
230410,Warframe,47855,Warframe,,10
2373990,Solo Leveling: ARISE OVERDRIVE,8279,Solo Leveling: ARISE OVERDRIVE,,10
